match_id,home_team,away_team,home_score,away_score,date
657557,Colorado Rush ECNL G09,Albion Hurricanes FC ECNL G09,0,2,2024-08-31
657569,Real Colorado Athletico ECNL G09,Albion Hurricanes FC ECNL G09,0,3,2024-09-01
650302,Arlington Soccer ECNL G09,Wilmington Hammerheads ECNL G09,2,1,2024-09-07
700346,Atlanta Fire United ECNL G09,Florida Elite ECNL G09,3,1,2024-09-07
645010,Bay Area Surf ECNL G09,San Juan SC ECNL G09,1,3,2024-09-07
656753,Legends FC San Diego ECNL G09,Beach FC ECNL G09,0,0,2024-09-07
700322,CESA Liberty ECNL G09,FC Prime ECNL G09,0,4,2024-09-07
657533,Real Colorado Athletico ECNL G09,Challenge SC ECNL G09,0,1,2024-08-31
657599,Colorado Rush ECNL G09,Challenge SC ECNL G09,3,1,2024-09-01
650146,Charlotte SA ECNL G09,Charlotte Independence ECNL G09,0,0,2024-09-07
653556,Sporting Blue Valley ECNL G09,Chicago Inter Soccer ECNL G09,1,0,2024-08-31
653564,Kansas City Athletics ECNL G09,Chicago Inter Soccer ECNL G09,6,2,2024-09-01
653724,Chicago Inter Soccer ECNL G09,Sporting Iowa ECNL G09,1,0,2024-09-07
657543,OK Energy FC ECNL G09,Classics Elite ECNL G09,5,4,2024-08-31
657605,Tulsa SC ECNL G09,Classics Elite ECNL G09,3,0,2024-09-01
657527,Colorado Rapids ECNL G09,Real Colorado Athletico ECNL G09,2,1,2024-08-25
657551,Colorado Rapids ECNL G09,Dallas Texans ECNL G09,2,3,2024-08-31
657593,Colorado Rapids ECNL G09,FC Dallas ECNL G09,0,3,2024-09-01
657521,Real Colorado National ECNL G09,Colorado Rush ECNL G09,3,0,2024-08-25
700418,Concorde Fire Premier ECNL G09,Orlando City ECNL G09,0,4,2024-09-07
700430,Concorde Fire Platinum ECNL G09,Tampa Bay United ECNL G09,6,0,2024-09-07
657581,Real Colorado National ECNL G09,Dallas Texans ECNL G09,2,0,2024-09-01
644656,MVLA ECNL G09,Davis Legacy ECNL G09,5,1,2024-08-24
644668,Pleasanton RAGE ECNL G09,Davis Legacy ECNL G09,1,2,2024-09-07
644860,De Anza Force ECNL G09,MVLA ECNL G09,0,8,2024-09-07
656879,Phoenix Rising ECNL G09,Eagles SC ECNL G09,0,4,2024-09-07
653596,Kansas City Athletics ECNL G09,Eclipse Select SC ECNL G09,2,2,2024-08-31
653584,Sporting Blue Valley ECNL G09,Eclipse Select SC ECNL G09,1,3,2024-09-01
653680,Eclipse Select SC ECNL G09,Gretna Elite Academy ECNL G09,1,1,2024-09-07
650222,Fairfax Virginia Union ECNL G09,NCFC Youth ECNL G09,6,0,2024-09-07
657539,Real Colorado National ECNL G09,FC Dallas ECNL G09,1,4,2024-08-31
653844,FC Wisconsin ECNL G09,Midwest United FC ECNL G09,1,2,2024-08-31
653756,FC Wisconsin ECNL G09,Kansas City Athletics ECNL G09,0,3,2024-09-07
700330,Alabama FC ECNL G09,Florida Krush ECNL G09,3,1,2024-09-07
700362,GSA ECNL G09,FL Premier FC ECNL G09,3,1,2024-09-07
700382,South Carolina United ECNL G09,Florida West FC ECNL G09,4,1,2024-09-07
653684,Michigan Hawks ECNL G09,Gretna Elite Academy ECNL G09,3,0,2024-08-31
653820,Gretna Elite Academy ECNL G09,Michigan Hawks Magic ECNL G09,4,1,2024-09-01
700406,United Futbol Academy ECNL G09,Jacksonville FC ECNL G09,4,1,2024-09-07
656909,LA Breakers FC ECNL G09,Slammers FC HB Koge ECNL G09,0,3,2024-09-07
657089,Utah Royals FC-AZ ECNL G09,LAFC So Cal ECNL G09,1,0,2024-09-07
657245,LV Heat Surf ECNL G09,Rebels SC ECNL G09,7,0,2024-09-07
657353,Legends FC ECNL G09,SLAMMERS FC ECNL G09,0,0,2024-09-07
653804,Nationals SC ECNL G09,Liverpool FC IA Michigan ECNL G09,3,1,2024-08-31
653664,Liverpool FC IA Michigan ECNL G09,SLSG Green ECNL G09,2,1,2024-09-07
653824,Michigan Hawks ECNL G09,Michigan Hawks Magic ECNL G09,1,0,2024-08-27
653744,Michigan Hawks Magic ECNL G09,Sporting Iowa ECNL G09,1,1,2024-08-31
653708,Sporting Iowa ECNL G09,Michigan Hawks ECNL G09,0,4,2024-09-01
645034,Mustang SC ECNL G09,San Juan SC ECNL G09,2,2,2024-08-24
644758,Mustang SC ECNL G09,Marin FC ECNL G09,2,1,2024-09-07
653956,Nationals SC ECNL G09,SLSG Navy ECNL G09,0,0,2024-09-07
650206,NC Courage ECNL G09,NC Fusion ECNL G09,3,0,2024-09-07
657585,OK Energy FC ECNL G09,Sting Austin ECNL G09,3,3,2024-09-01
657167,San Diego Surf ECNL G09,Pateadores ECNL G09,0,0,2024-09-07
644938,Pleasanton RAGE ECNL G09,Placer United ECNL G09,1,1,2024-08-24
645100,Placer United ECNL G09,Santa Rosa United ECNL G09,1,3,2024-09-07
653552,Rockford Raptors ECNL G09,Sporting Blue Valley ECNL G09,5,2,2024-09-07
645082,Marin FC ECNL G09,Santa Rosa United ECNL G09,2,0,2024-08-24
657413,Sporting California USA ECNL G09,So Cal Blues ECNL G09,0,1,2024-09-07
657563,Tulsa SC ECNL G09,Sting Austin ECNL G09,0,4,2024-08-31
657576,Sting Black ECNL G09,Sting Royal ECNL G09,0,2,2024-09-01
